order_detail_id,order_id,product_id,sales,units,gross_profit,cost
1,1,1,7.5,2,4.9,2.6
2,2,2,7.2,2,5.0,2.2
3,3,3,7.2,2,4.8,2.4
4,4,4,9.75,3,6.33,3.42
5,5,5,6.5,2,4.22,2.28
6,6,6,3.6,1,2.5,1.1
7,7,7,10.47,3,7.47,3.0
8,8,8,25.2,7,16.8,8.4
9,9,4,9.75,3,6.33,3.42
10,10,7,10.47,3,7.47,3.0
11,11,9,6.98,2,4.98,2.0
12,12,10,16.25,5,10.55,5.7
13,13,4,9.75,3,6.33,3.42
14,14,1,7.5,2,4.9,2.6
15,15,7,10.47,3,7.47,3.0
16,16,2,7.2,2,5.0,2.2
17,17,11,20.94,6,14.94,6.0
18,18,1,7.5,2,4.9,2.6
19,19,9,6.98,2,4.98,2.0
20,20,6,3.6,1,2.5,1.1
21,21,9,6.98,2,4.98,2.0
22,22,5,6.5,2,4.22,2.28
23,23,12,18.75,5,12.25,6.5
24,24,13,3.49,1,2.49,1.0
25,25,14,11.25,3,7.35,3.9
26,26,9,6.98,2,4.98,2.0
27,27,1,7.5,2,4.9,2.6
28,28,14,11.25,3,7.35,3.9
29,29,6,3.6,1,2.5,1.1
30,30,15,27.92,8,19.92,8.0
31,31,13,3.49,1,2.49,1.0
32,32,16,10.8,3,7.2,3.6
33,33,17,14.4,4,10.0,4.4
34,34,18,10.8,3,7.5,3.3
35,35,1,7.5,2,4.9,2.6
36,36,7,10.47,3,7.47,3.0
37,37,18,10.8,3,7.5,3.3
38,38,14,11.25,3,7.35,3.9
39,39,19,18.0,5,12.0,6.0
40,40,14,11.25,3,7.35,3.9
41,41,4,9.75,3,6.33,3.42
42,42,3,7.2,2,4.8,2.4
43,43,4,9.75,3,6.33,3.42
44,44,3,7.2,2,4.8,2.4
45,45,19,18.0,5,12.0,6.0
46,46,16,10.8,3,7.2,3.6
47,47,20,14.4,4,9.6,4.8
48,48,19,18.0,5,12.0,6.0
49,49,10,16.25,5,10.55,5.7
50,50,3,7.2,2,4.8,2.4
51,51,21,13.96,4,9.96,4.0
52,52,14,11.25,3,7.35,3.9
53,53,18,10.8,3,7.5,3.3
54,54,22,19.5,6,12.66,6.84
55,55,23,15.0,4,9.8,5.2
56,56,9,6.98,2,4.98,2.0
57,57,3,7.2,2,4.8,2.4
58,58,13,3.49,1,2.49,1.0
59,59,16,10.8,3,7.2,3.6
60,60,16,10.8,3,7.2,3.6
61,61,5,6.5,2,4.22,2.28
62,62,9,6.98,2,4.98,2.0
63,63,5,6.5,2,4.22,2.28
64,64,5,6.5,2,4.22,2.28
65,65,1,7.5,2,4.9,2.6
66,66,17,14.4,4,10.0,4.4
67,67,7,10.47,3,7.47,3.0
68,68,6,3.6,1,2.5,1.1
69,69,20,14.4,4,9.6,4.8
70,70,9,6.98,2,4.98,2.0
71,71,21,13.96,4,9.96,4.0
72,72,24,3.75,1,2.45,1.3
73,73,6,3.6,1,2.5,1.1
74,74,21,13.96,4,9.96,4.0
75,75,25,3.75,3,1.95,1.8
76,76,24,3.75,1,2.45,1.3
77,77,26,37.5,10,24.5,13.0
78,78,1,7.5,2,4.9,2.6
79,79,8,25.2,7,16.8,8.4
80,80,4,9.75,3,6.33,3.42
81,81,7,10.47,3,7.47,3.0
82,82,27,3.6,1,2.4,1.2
83,83,28,18.0,5,12.5,5.5
84,84,18,10.8,3,7.5,3.3
85,85,29,32.5,10,21.1,11.4
86,86,5,6.5,2,4.22,2.28
87,87,1,7.5,2,4.9,2.6
88,88,7,10.47,3,7.47,3.0
89,89,1,7.5,2,4.9,2.6
90,90,16,10.8,3,7.2,3.6
