order_id,customer_id,location_id,order_date,ship_date,ship_mode
1,128055,1,2021-03-31,2026-09-26,Standard Class
2,128055,2,2021-03-31,2026-09-26,Standard Class
3,138100,3,2021-09-15,2027-03-13,Standard Class
4,138100,4,2021-09-15,2027-03-13,Standard Class
5,121391,5,2022-10-04,2028-03-29,First Class
6,103982,6,2023-03-03,2028-08-28,Standard Class
7,103982,6,2023-03-03,2028-08-28,Standard Class
8,103982,6,2023-03-03,2028-08-28,Standard Class
9,103982,7,2023-03-03,2028-08-28,Standard Class
10,147039,8,2024-06-29,2029-12-25,Standard Class
11,147039,8,2024-06-29,2029-12-25,Standard Class
12,158064,9,2021-04-21,2026-10-16,Standard Class
13,130729,10,2021-10-24,2027-04-21,Standard Class
14,140921,11,2022-02-03,2027-07-29,First Class
15,140921,12,2022-02-03,2027-07-29,First Class
16,109939,13,2022-05-08,2027-11-02,Standard Class
17,114503,14,2022-11-13,2028-05-09,Standard Class
18,126613,15,2023-07-10,2029-01-05,Standard Class
19,131065,16,2023-11-14,2029-05-08,Second Class
20,131065,16,2023-11-14,2029-05-08,Second Class
21,131065,16,2023-11-14,2029-05-08,Second Class
22,169488,17,2024-09-07,2030-03-02,First Class
23,169488,17,2024-09-07,2030-03-02,First Class
24,100230,18,2024-12-11,2030-06-07,Standard Class
25,100230,19,2024-12-11,2030-06-07,Standard Class
26,100230,18,2024-12-11,2030-06-07,Standard Class
27,155271,20,2021-05-04,2026-10-25,Same Day
28,121671,21,2023-07-17,2029-01-11,Standard Class
29,121671,22,2023-07-17,2029-01-11,Standard Class
30,121671,22,2023-07-17,2029-01-11,Standard Class
31,121671,22,2023-07-17,2029-01-11,Standard Class
32,121671,22,2023-07-17,2029-01-11,Standard Class
33,114601,23,2023-08-26,2029-02-22,Standard Class
34,114601,23,2023-08-26,2029-02-22,Standard Class
35,114601,24,2023-08-26,2029-02-22,Standard Class
36,114601,23,2023-08-26,2029-02-22,Standard Class
37,114601,23,2023-08-26,2029-02-22,Standard Class
38,114412,25,2024-04-15,2029-10-11,Standard Class
39,154963,26,2021-06-22,2026-12-18,Standard Class
40,154963,27,2021-06-22,2026-12-18,Standard Class
41,154963,27,2021-06-22,2026-12-18,Standard Class
42,143210,28,2021-12-01,2027-05-26,First Class
43,143210,29,2021-12-01,2027-05-26,First Class
44,143210,28,2021-12-01,2027-05-26,First Class
45,110863,30,2022-11-17,2028-05-16,Standard Class
46,110863,30,2022-11-17,2028-05-16,Standard Class
47,110863,30,2022-11-17,2028-05-16,Standard Class
48,147137,31,2023-07-04,2028-12-26,First Class
49,147137,5,2023-07-04,2028-12-26,First Class
50,147137,31,2023-07-04,2028-12-26,First Class
51,147137,31,2023-07-04,2028-12-26,First Class
52,131205,32,2023-09-04,2029-02-28,Standard Class
53,131205,33,2023-09-04,2029-02-28,Standard Class
54,131205,32,2023-09-04,2029-02-28,Standard Class
55,131205,32,2023-09-04,2029-02-28,Standard Class
56,157196,34,2024-11-05,2030-05-02,Standard Class
57,152905,35,2021-02-18,2026-08-17,Standard Class
58,156587,36,2021-03-07,2026-08-29,First Class
59,156587,36,2021-03-07,2026-08-29,First Class
60,156587,36,2021-03-07,2026-08-29,First Class
61,140935,37,2023-11-10,2029-05-04,First Class
62,140935,30,2023-11-10,2029-05-04,First Class
63,150511,38,2022-09-18,2028-03-16,Standard Class
64,108637,39,2023-03-13,2028-09-07,Standard Class
65,108637,39,2023-03-13,2028-09-07,Standard Class
66,108637,40,2023-03-13,2028-09-07,Standard Class
67,161207,41,2023-08-29,2029-02-23,Standard Class
68,129714,42,2023-09-01,2029-02-23,First Class
69,129714,42,2023-09-01,2029-02-23,First Class
70,129714,42,2023-09-01,2029-02-23,First Class
71,129714,42,2023-09-01,2029-02-23,First Class
72,129714,43,2023-09-01,2029-02-23,First Class
73,159688,44,2024-05-07,2029-11-02,Standard Class
74,134173,45,2024-09-16,2030-03-14,Standard Class
75,118213,46,2024-11-05,2030-04-30,First Class
76,118213,47,2024-11-05,2030-04-30,First Class
77,118213,47,2024-11-05,2030-04-30,First Class
78,107174,48,2024-11-06,2030-05-06,Standard Class
79,107174,49,2024-11-06,2030-05-06,Standard Class
80,107174,48,2024-11-06,2030-05-06,Standard Class
81,103100,50,2021-12-20,2027-06-15,First Class
82,103100,50,2021-12-20,2027-06-15,First Class
83,163181,51,2022-11-07,2028-05-04,Standard Class
84,163181,51,2022-11-07,2028-05-04,Standard Class
85,163181,52,2022-11-07,2028-05-04,Standard Class
86,163181,52,2022-11-07,2028-05-04,Standard Class
87,163181,52,2022-11-07,2028-05-04,Standard Class
88,163181,51,2022-11-07,2028-05-04,Standard Class
89,147431,4,2023-02-02,2028-07-30,Standard Class
90,122245,53,2023-09-25,2029-03-22,Standard Class
91,117121,54,2023-12-17,2029-06-12,Standard Class
92,121643,55,2024-05-18,2029-11-10,First Class
93,126788,56,2024-06-05,2029-11-27,First Class
94,140781,57,2024-08-03,2030-01-28,Standard Class
95,153822,58,2024-09-19,2030-03-18,Standard Class
96,153822,53,2024-09-19,2030-03-18,Standard Class
97,153822,53,2024-09-19,2030-03-18,Standard Class
98,153822,58,2024-09-19,2030-03-18,Standard Class
99,101042,59,2024-11-19,2030-05-16,Standard Class
100,101042,59,2024-11-19,2030-05-16,Standard Class
101,169061,60,2021-03-05,2026-08-29,Second Class
102,169061,61,2021-03-05,2026-08-29,Second Class
103,169061,60,2021-03-05,2026-08-29,Second Class
104,169061,61,2021-03-05,2026-08-29,Second Class
105,169061,60,2021-03-05,2026-08-29,Second Class
106,168186,62,2022-09-10,2028-03-07,Standard Class
107,147970,63,2023-01-31,2028-07-25,Second Class
108,120761,64,2024-09-04,2030-03-01,Standard Class
109,158876,65,2024-11-19,2030-05-14,Second Class
110,158876,65,2024-11-19,2030-05-14,Second Class
111,158876,65,2024-11-19,2030-05-14,Second Class
112,158876,65,2024-11-19,2030-05-14,Second Class
113,139500,66,2021-11-16,2027-05-13,Standard Class
114,126634,67,2021-12-20,2027-06-14,Second Class
115,131534,68,2022-03-28,2027-09-23,Standard Class
